Timestamp (UNIX time ms),Timestamp,Active (T/F),Latitude (deg),Longitude (deg),Heartrate (bpm),Speed (mps),Distance (m),Crank Cadence (rpm),Run Cadence (steps/min),Elevation (m),Power (watts),
1549992204000,11:23:24:023,true,,,,6.5,2578.989990234375,89.00000095367432,89.00000095367432,,,
1549992205000,11:23:25:023,true,,,,6.482999801635742,2585.280029296875,89.00000095367432,89.00000095367432,,,
1549992206000,11:23:26:023,true,,,,6.4629998207092285,2591.570068359375,88.00000190734863,88.00000190734863,,,
1549992207000,11:23:27:023,true,,,,6.461999893188477,2597.7900390625,89.00000095367432,89.00000095367432,,,
1549992208000,11:23:28:023,true,,,,6.461999893188477,2604.0400390625,88.00000190734863,88.00000190734863,,,
1549992209000,11:23:29:023,true,,,,6.484000205993652,2610.43994140625,89.00000095367432,89.00000095367432,,,
1549992210000,11:23:30:023,true,,,,6.581999778747559,2618.739990234375,89.00000095367432,89.00000095367432,,,
1549992211000,11:23:31:023,true,,,,6.561999797821045,2625.02001953125,90.0,90.0,,,
1549992212000,11:23:32:023,true,,,,6.559999942779541,2631.31005859375,90.0,90.0,,,
1549992213000,11:23:33:023,true,,,,6.5229997634887695,2637.550048828125,89.00000095367432,89.00000095367432,,,
1549992214000,11:23:34:023,true,,,,6.552000045776367,2643.889892578125,89.00000095367432,89.00000095367432,,,
1549992215000,11:23:35:023,true,,,,6.665999889373779,2650.18994140625,90.99999904632568,90.99999904632568,,,
1549992216000,11:23:36:023,true,,,,6.6570000648498535,2656.530029296875,90.99999904632568,90.99999904632568,,,
1549992217000,11:23:37:023,true,,,,6.572999954223633,2663.2900390625,90.0,90.0,,,
1549992218000,11:23:38:023,true,,,,6.580999851226807,2669.669921875,90.0,90.0,,,
1549992219000,11:23:39:023,true,,,,6.697000026702881,2677.840087890625,90.99999904632568,90.99999904632568,,,
1549992220000,11:23:40:023,true,,,,6.669000148773193,2684.31005859375,90.99999904632568,90.99999904632568,,,
1549992221000,11:23:41:023,true,,,,6.704999923706055,2690.590087890625,90.99999904632568,90.99999904632568,,,
1549992222000,11:23:42:023,true,,,,6.708000183105469,2696.8798828125,91.99999809265137,91.99999809265137,,,
1549992223000,11:23:43:023,true,,,,6.635000228881836,2704.7099609375,90.99999904632568,90.99999904632568,,,
1549992224000,11:23:44:023,true,,,,6.584000110626221,2711.5400390625,90.0,90.0,,,
1549992225000,11:23:45:023,true,,,,6.603000164031982,2717.81005859375,90.0,90.0,,,
1549992226000,11:23:46:023,true,,,,6.583000183105469,2724.06005859375,90.0,90.0,,,
1549992227000,11:23:47:023,true,,,,6.603000164031982,2730.340087890625,90.0,90.0,,,
1549992228000,11:23:48:023,true,,,,6.541999816894531,2736.60009765625,89.00000095367432,89.00000095367432,,,
1549992229000,11:23:49:023,true,,,,6.5229997634887695,2742.929931640625,89.00000095367432,89.00000095367432,,,
1549992230000,11:23:50:023,true,,,,6.545000076293945,2749.219970703125,89.00000095367432,89.00000095367432,,,
1549992231000,11:23:51:023,true,,,,6.604000091552734,2755.610107421875,90.0,90.0,,,
